"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"1",47,100,27,81,57,37,26,0,0,23,56,53,100,90,40,98,8,1,47,100,27,81,57,37,26,0,0,23,56,53,100,90,40,98,8,1
"2",0,89,27,100,42,75,29,45,15,15,37,0,69,2,100,6,2,2,0,89,27,100,42,75,29,45,15,15,37,0,69,2,100,6,2,2
"3",0,57,31,68,72,90,100,100,76,75,50,51,28,25,16,0,1,3,0,57,31,68,72,90,100,100,76,75,50,51,28,25,16,0,1,3
"4",0,100,7,92,5,68,19,45,86,34,100,45,74,23,67,0,4,6,0,100,7,92,5,68,19,45,86,34,100,45,74,23,67,0,4,6
"5",0,67,49,83,100,100,81,80,60,60,40,40,33,20,47,0,1,3,0,67,49,83,100,100,81,80,60,60,40,40,33,20,47,0,1,3
"6",100,100,88,99,49,74,17,47,0,16,37,0,73,16,20,20,6,4,100,100,88,99,49,74,17,47,0,16,37,0,73,16,20,20,6,4
"7",0,100,3,72,26,35,85,35,100,71,73,97,65,49,66,0,4,6,0,100,3,72,26,35,85,35,100,71,73,97,65,49,66,0,4,6
"8",0,39,2,62,11,5,63,0,100,43,89,99,36,100,0,57,0,10,0,39,2,62,11,5,63,0,100,43,89,99,36,100,0,57,0,10
"9",13,89,12,50,72,38,56,0,4,17,0,61,32,94,100,100,5,7,13,89,12,50,72,38,56,0,4,17,0,61,32,94,100,100,5,7
"10",57,100,22,72,0,31,25,0,75,13,100,50,75,87,26,85,0,5,57,100,22,72,0,31,25,0,75,13,100,50,75,87,26,85,0,5
"11",74,87,31,100,0,69,62,64,100,79,100,38,84,0,18,1,9,6,74,87,31,100,0,69,62,64,100,79,100,38,84,0,18,1,9,6
"12",48,96,62,65,88,27,21,0,21,33,79,67,100,100,0,85,8,1,48,96,62,65,88,27,21,0,21,33,79,67,100,100,0,85,8,1
"13",100,100,72,99,36,78,34,54,79,47,64,13,19,0,0,2,5,9,100,100,72,99,36,78,34,54,79,47,64,13,19,0,0,2,5,9
"14",91,74,54,100,0,87,23,59,81,67,100,39,79,4,21,0,9,6,91,74,54,100,0,87,23,59,81,67,100,39,79,4,21,0,9,6
"15",0,85,38,100,81,88,87,50,84,12,58,0,53,22,100,24,7,2,0,85,38,100,81,88,87,50,84,12,58,0,53,22,100,24,7,2
"16",35,76,57,100,100,92,68,66,81,38,82,9,32,0,0,17,3,9,35,76,57,100,100,92,68,66,81,38,82,9,32,0,0,17,3,9
"17",50,84,66,100,75,75,51,51,100,42,97,13,49,0,0,7,3,9,50,84,66,100,75,75,51,51,100,42,97,13,49,0,0,7,3,9
"18",99,80,63,100,25,76,79,68,100,62,97,23,54,0,0,16,9,9,99,80,63,100,25,76,79,68,100,62,97,23,54,0,0,16,9,9
"19",24,66,43,100,59,65,34,28,0,1,16,11,58,0,100,1,2,2,24,66,43,100,59,65,34,28,0,1,16,11,58,0,100,1,2,2
"20",0,73,19,99,72,100,70,73,32,48,5,18,46,0,100,0,2,2,0,73,19,99,72,100,70,73,32,48,5,18,46,0,100,0,2,2
"21",12,77,20,62,78,40,50,0,1,17,0,64,23,98,100,100,5,7,12,77,20,62,78,40,50,0,1,17,0,64,23,98,100,100,5,7
"22",0,46,49,64,78,87,100,100,91,75,85,49,75,24,89,0,1,3,0,46,49,64,78,87,100,100,91,75,85,49,75,24,89,0,1,3
"23",10,86,34,66,68,34,34,0,4,26,0,69,34,95,100,100,5,7,10,86,34,66,68,34,34,0,4,26,0,69,34,95,100,100,5,7
"24",73,62,53,100,0,72,82,39,100,0,15,14,52,57,90,94,8,8,73,62,53,100,0,72,82,39,100,0,15,14,52,57,90,94,8,8
"25",54,100,34,75,6,43,0,11,70,0,100,28,44,46,36,21,6,4,54,100,34,75,6,43,0,11,70,0,100,28,44,46,36,21,6,4
"26",11,100,0,69,15,43,87,47,100,65,74,67,71,33,66,0,4,6,11,100,0,69,15,43,87,47,100,65,74,67,71,33,66,0,4,6
"27",36,92,7,83,0,37,26,0,77,6,100,46,84,89,36,100,0,5,36,92,7,83,0,37,26,0,77,6,100,46,84,89,36,100,0,5
"28",46,100,10,83,34,64,100,77,71,82,49,54,22,27,0,0,4,3,46,100,10,83,34,64,100,77,71,82,49,54,22,27,0,0,4,3
"29",61,59,58,100,0,84,44,42,80,0,8,5,33,44,100,70,8,8,61,59,58,100,0,84,44,42,80,0,8,5,33,44,100,70,8,8
"30",100,84,31,100,0,88,8,70,15,53,15,35,0,17,0,0,1,4,100,84,31,100,0,88,8,70,15,53,15,35,0,17,0,0,1,4
"31",32,59,53,100,100,95,79,46,48,0,93,19,58,55,0,63,8,9,32,59,53,100,100,95,79,46,48,0,93,19,58,55,0,63,8,9
"32",40,99,51,66,79,26,39,0,0,27,8,77,46,100,100,94,5,7,40,99,51,66,79,26,39,0,0,27,8,77,46,100,100,94,5,7
"33",0,98,36,100,80,85,68,42,56,0,25,23,50,37,100,32,7,2,0,98,36,100,80,85,68,42,56,0,25,23,50,37,100,32,7,2
"34",27,76,1,42,16,0,70,3,100,40,92,84,44,100,0,73,0,10,27,76,1,42,16,0,70,3,100,40,92,84,44,100,0,73,0,10
"35",0,0,31,15,63,30,88,52,100,79,82,100,56,82,79,64,9,10,0,0,31,15,63,30,88,52,100,79,82,100,56,82,79,64,9,10
"36",30,86,67,100,77,77,53,50,78,40,100,17,56,0,0,5,3,9,30,86,67,100,77,77,53,50,78,40,100,17,56,0,0,5,3,9
"37",29,91,14,57,66,39,30,0,0,19,3,72,39,97,100,100,5,7,29,91,14,57,66,39,30,0,0,19,3,72,39,97,100,100,5,7
"38",77,97,40,100,0,59,9,29,84,33,100,64,77,44,48,0,4,6,77,97,40,100,0,59,9,29,84,33,100,64,77,44,48,0,4,6
"39",64,93,0,67,97,67,89,100,14,70,100,68,96,36,28,0,9,3,64,93,0,67,97,67,89,100,14,70,100,68,96,36,28,0,9,3
"40",9,93,53,100,89,80,57,52,17,30,0,5,50,2,100,0,2,2,9,93,53,100,89,80,57,52,17,30,0,5,50,2,100,0,2,2
"41",0,93,62,100,100,78,69,43,50,5,35,0,15,35,86,37,7,2,0,93,62,100,100,78,69,43,50,5,35,0,15,35,86,37,7,2
"42",30,87,16,55,68,41,52,0,0,16,15,63,41,100,100,98,5,7,30,87,16,55,68,41,52,0,0,16,15,63,41,100,100,98,5,7
"43",60,100,20,76,0,39,10,1,69,0,100,33,56,40,15,10,6,4,60,100,20,76,0,39,10,1,69,0,100,33,56,40,15,10,6,4
"44",0,83,29,100,88,95,64,69,73,43,100,13,50,1,10,0,3,9,0,83,29,100,88,95,64,69,73,43,100,13,50,1,10,0,3,9
"45",5,90,46,98,89,100,100,81,77,59,62,34,37,14,0,0,3,9,5,90,46,98,89,100,100,81,77,59,62,34,37,14,0,0,3,9
"46",100,99,67,100,24,68,0,32,27,0,99,8,77,40,9,55,6,4,100,99,67,100,24,68,0,32,27,0,99,8,77,40,9,55,6,4
"47",47,86,73,100,89,75,68,49,100,28,82,4,38,0,0,13,3,9,47,86,73,100,89,75,68,49,100,28,82,4,38,0,0,13,3,9
"48",29,72,45,100,78,78,60,41,25,12,0,4,50,6,100,0,2,2,29,72,45,100,78,78,60,41,25,12,0,4,50,6,100,0,2,2
"49",1,88,0,54,59,31,36,0,11,28,4,68,28,97,100,100,5,7,1,88,0,54,59,31,36,0,11,28,4,68,28,97,100,100,5,7
"50",63,100,40,73,70,63,100,77,79,74,55,48,29,23,0,0,4,9,63,100,40,73,70,63,100,77,79,74,55,48,29,23,0,0,4,9
"51",11,92,56,100,83,82,52,59,87,39,100,14,55,0,0,0,3,9,11,92,56,100,83,82,52,59,87,39,100,14,55,0,0,0,3,9
"52",51,76,68,91,100,100,83,80,59,60,34,40,10,20,0,0,1,9,51,76,68,91,100,100,83,80,59,60,34,40,10,20,0,0,1,9
"53",56,99,18,72,0,24,36,0,85,23,100,69,58,100,19,74,0,5,56,99,18,72,0,24,36,0,85,23,100,69,58,100,19,74,0,5
"54",0,75,47,87,100,100,91,80,72,60,53,40,35,20,19,0,1,3,0,75,47,87,100,100,91,80,72,60,53,40,35,20,19,0,1,3
"55",17,100,0,74,6,36,77,37,100,63,73,95,71,47,75,0,4,6,17,100,0,74,6,36,77,37,100,63,73,95,71,47,75,0,4,6
"56",41,96,17,76,50,37,31,0,0,34,1,86,49,98,100,100,5,7,41,96,17,76,50,37,31,0,0,34,1,86,49,98,100,100,5,7
"57",20,82,62,100,100,81,68,54,82,50,89,19,42,0,0,13,3,9,20,82,62,100,100,81,68,54,82,50,89,19,42,0,0,13,3,9
"58",12,78,40,100,74,77,52,41,13,14,0,17,50,8,100,0,2,2,12,78,40,100,74,77,52,41,13,14,0,17,50,8,100,0,2,2
"59",18,73,0,73,10,24,54,0,100,22,95,71,52,100,5,84,0,5,18,73,0,73,10,24,54,0,100,22,95,71,52,100,5,84,0,5
"60",97,100,41,90,4,58,0,22,52,0,100,22,49,38,8,13,6,4,97,100,41,90,4,58,0,22,52,0,100,22,49,38,8,13,6,4
"61",57,63,100,100,0,91,36,53,95,16,2,0,5,36,91,67,8,8,57,63,100,100,0,91,36,53,95,16,2,0,5,36,91,67,8,8
"62",30,81,87,100,100,98,37,86,46,54,99,32,59,2,0,0,5,9,30,81,87,100,100,98,37,86,46,54,99,32,59,2,0,0,5,9
"63",12,61,0,20,44,0,92,23,100,64,70,100,15,92,0,52,0,10,12,61,0,20,44,0,92,23,100,64,70,100,15,92,0,52,0,10
"64",0,84,50,100,72,79,37,52,51,41,100,27,62,3,3,0,3,9,0,84,50,100,72,79,37,52,51,41,100,27,62,3,3,0,3,9
"65",0,100,61,100,100,93,63,64,36,33,14,0,9,29,47,42,7,2,0,100,61,100,100,93,63,64,36,33,14,0,9,29,47,42,7,2
"66",100,79,67,100,26,76,41,38,47,0,0,8,38,38,96,58,8,8,100,79,67,100,26,76,41,38,47,0,0,8,38,38,96,58,8,8
"67",37,91,84,100,100,96,52,87,32,57,74,38,41,1,0,0,5,9,37,91,84,100,100,96,52,87,32,57,74,38,41,1,0,0,5,9
"68",100,100,58,83,31,55,17,24,43,0,80,19,50,43,0,39,6,4,100,100,58,83,31,55,17,24,43,0,80,19,50,43,0,39,6,4
"69",94,79,40,100,13,65,59,30,67,0,0,17,45,52,100,83,8,8,94,79,40,100,13,65,59,30,67,0,0,17,45,52,100,83,8,8
"70",0,82,75,56,100,12,22,0,22,41,92,73,84,100,2,80,8,1,0,82,75,56,100,12,22,0,22,41,92,73,84,100,2,80,8,1
"71",80,100,36,100,58,80,65,82,82,47,100,14,53,0,0,7,9,9,80,100,36,100,58,80,65,82,82,47,100,14,53,0,0,7,9,9
"72",35,76,0,42,11,0,65,5,100,41,97,85,49,100,9,69,0,10,35,76,0,42,11,0,65,5,100,41,97,85,49,100,9,69,0,10
"73",34,100,21,76,0,35,43,30,91,29,100,41,74,46,67,0,4,6,34,100,21,76,0,35,43,30,91,29,100,41,74,46,67,0,4,6
"74",0,75,31,72,67,84,100,100,94,82,80,54,68,27,56,0,1,3,0,75,31,72,67,84,100,100,94,82,80,54,68,27,56,0,1,3
"75",90,71,100,100,25,85,10,50,80,62,99,53,64,17,0,0,9,9,90,71,100,100,25,85,10,50,80,62,99,53,64,17,0,0,9,9
"76",0,97,42,100,67,71,53,35,34,0,16,23,40,42,100,42,7,2,0,97,42,100,67,71,53,35,34,0,16,23,40,42,100,42,7,2
"77",38,94,4,63,0,20,41,0,84,19,100,60,77,98,32,100,0,5,38,94,4,63,0,20,41,0,84,19,100,60,77,98,32,100,0,5
"78",72,100,38,88,2,57,0,19,51,0,100,20,55,34,12,7,6,4,72,100,38,88,2,57,0,19,51,0,100,20,55,34,12,7,6,4
"79",26,79,69,100,92,85,56,56,90,42,100,15,51,0,0,2,3,9,26,79,69,100,92,85,56,56,90,42,100,15,51,0,0,2,3,9
"80",8,77,47,100,100,96,71,66,100,46,99,13,46,0,0,13,3,9,8,77,47,100,100,96,71,66,100,46,99,13,46,0,0,13,3,9
"81",31,73,55,100,55,53,33,14,0,0,30,11,65,1,100,1,2,2,31,73,55,100,55,53,33,14,0,0,30,11,65,1,100,1,2,2
"82",46,100,21,85,0,60,24,42,68,44,100,49,76,25,58,0,4,6,46,100,21,85,0,60,24,42,68,44,100,49,76,25,58,0,4,6
"83",41,69,76,100,73,81,57,39,46,0,0,10,50,9,100,10,1,2,41,69,76,100,73,81,57,39,46,0,0,10,50,9,100,10,1,2
"84",32,100,12,76,0,48,1,21,39,0,100,9,64,21,18,3,6,4,32,100,12,76,0,48,1,21,39,0,100,9,64,21,18,3,6,4
